save_path,cat_db_key,uid_int,unique_id_hex,name,name_tag,status,is_alive,gender_guess,gender_token,gender_pre_u32_0,gender_pre_u32_1,gender_pre_u32_2,str_base,dex_base,con_base,int_base,spd_base,cha_base,lck_base,ground_truth_source,label_orientation_flag,label_gender,label_age,label_libido,label_aggression,label_inbredness,label_gayness,label_abilities,label_mutations,label_disorders,label_lovers,label_haters,notes
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,51,-7488410014780934065,0x9813d2c45081384f,Arame,,In House,1,male,male17,0,5,10,5,4,5,5,7,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,204,256757612490961697,0x3902fb02de6b321,Archy,,In House,1,male,male50,0,7,7,6,4,4,5,7,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,184,2678030460014216641,0x252a4683bad2c5c1,Aria,Appeal,In House,1,male,male23,0,10,2,6,7,6,7,6,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,82,5997915974508201164,0x533ce0cced33c4cc,Augustus,star2,In House,1,male,male52,0,2,4,6,4,5,7,7,7,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,188,2349690152085797042,0x209bc6be7f4eb8b2,Auntie,dex,In House,1,male,male50,0,1,8,5,7,5,5,7,4,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,202,5357679593253946686,0x4a5a4d343042c53e,Bababooey,appeal,In House,1,male,male55,0,9,9,6,4,6,7,5,6,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,105,-2203366233263081015,0xe16c1215b44379c9,Babs,int,In House,1,male,male10,0,6,2,5,5,5,7,5,4,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,98,-1864031201113019978,0xe621a17fa769e9b6,Bam,chA,In House,1,male,male17,0,7,8,6,4,4,5,5,7,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,158,-8523074549675341229,0x89b7f4dab06dca53,Batting,,In House,1,female,female5,0,8,2,6,4,5,7,5,6,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,84,-614795795496269009,0xf777ce7b380a8b2f,Beau,Evolution,In House,1,male,male56,0,2,5,6,5,6,5,3,4,6,user_paste_2026-03-11,pink_blue,,,,,,0.5,,,,,,user provided 202cats sexuality labels; icon:none
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,199,-5498519730483371563,0xb3b15570020fe1d5,Beebmama,,In House,1,male,male55,0,10,5,6,7,6,5,6,7,7,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,68,7258383681390435762,0x64baf5806cc4ddb2,Beethoven,sword,In House,1,male,male52,0,1,3,6,4,5,7,7,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,61,-6449008323805780966,0xa68085190a04e41a,Belcho,,In House,1,male,male17,0,10,1,6,4,5,7,5,5,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,177,-5610828280683339999,0xb2225567fa275f21,Bern,Appeal,In House,1,male,male55,0,4,7,5,4,3,7,7,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,132,-7590689734925305283,0x96a873e73d92ba3d,Betany,sword,In House,1,male,male52,0,9,1,6,4,4,7,5,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,141,5647941461104092724,0x4e6184d5b54f6634,Bingley,,In House,1,female,female5,0,3,1,5,4,6,6,5,7,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,144,1434595046800632672,0x13e8b49821162b60,Bitsy,sword,In House,1,male,male52,0,1,7,6,5,5,7,7,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,119,7939286552461520329,0x6e2e030e29812dc9,Boat,int,In House,1,male,male52,0,8,8,4,5,5,7,7,4,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,189,7492497553328210481,0x67fab2d3ea9c8231,Bocy,Sword,In House,1,male,male50,0,4,6,6,4,5,7,7,4,7,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,143,4562495380449731327,0x3f513d60191122ff,Boulette,sword,In House,1,male,male51,0,3,4,6,4,4,7,7,7,5,user_paste_2026-03-11,rainbow,,,,,,1.0,,,,,,user provided 202cats sexuality labels
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,127,7626259560217975344,0x69d5eaaa13b81a30,Bradley,sword,In House,1,male,male52,0,10,1,4,7,4,7,5,6,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,208,4897081524724803485,0x43f5edb36d59a79d,Brandur,sword,In House,1,male,male50,0,8,10,6,4,5,7,7,7,7,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,125,-2240426808601866250,0xe0e867b018060ff6,Brioche,sword,In House,1,male,male52,0,5,1,6,4,5,7,7,7,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,88,-7168639242468962551,0x9c83e0970db64f09,Buggy,,In House,1,male,male17,0,9,10,6,4,5,5,5,7,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,133,8402859800534465493,0x749cf477e4443bd5,Cannelle,sword,In House,1,male,male52,0,5,4,6,5,5,6,7,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,163,7057893610068185435,0x61f2acd8129d115b,Cardo,sword,In House,1,male,male17,0,8,4,6,4,6,7,7,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,103,-2211220255178988655,0xe1502ae4b9e86391,Carlito,,In House,1,male,male17,0,5,2,5,4,4,5,6,5,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,70,-8130233733137379900,0x8f2b9b7edb72cdc4,Cassey,,In House,1,male,male17,0,4,10,5,4,5,5,6,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,171,1986117826679564742,0x1b901ba3f54e69c6,Catniss,sword,In House,1,male,male55,0,6,10,6,4,6,7,7,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,104,-4411228460330435319,0xc2c82b1646e93d09,Chaussette,,In House,1,male,male52,0,2,1,6,4,4,7,5,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,26,2853760417128362364,0x279a97fac101b17c,Chert,,In House,1,male,male34,0,7,5,4,6,5,6,5,4,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,81,9125692111330173283,0x7ea4f8a0116b6163,Chester,spd,In House,1,female,female55,0,5,4,4,5,5,6,7,4,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,159,8142182640154976151,0x70fed7f8daca1f97,Chico Butico,,In House,1,male,male17,0,8,4,5,5,5,6,5,6,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,5,1994083804527128281,0x1bac68a7b532eed9,Chorizo,,In House,1,female,female51,0,6,9,4,4,5,5,5,6,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,92,-1114507990824594558,0xf08878e32390d382,Chuck,sword,In House,1,male,male17,0,2,10,4,4,4,3,6,7,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,42,-4369409321663189658,0xc35cbd5f3ffc2d66,Chula,,In House,1,male,male17,0,1,1,6,4,5,7,5,7,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,152,-3043548492244577332,0xd5c324c58f1613cc,Clotilde,,In House,1,male,male17,0,5,4,5,4,6,7,5,6,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,14,4831222147450235273,0x430bf2f239c56989,Danila,,In House,1,male,male20,0,2,6,5,5,5,7,3,5,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,116,-6557727041571736754,0xa4fe46000124b34e,Dax,inT,In House,1,male,male17,0,7,1,6,4,5,7,7,5,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,179,3836869538048345854,0x353f4c8428e386fe,Dayenne,appeal,In House,1,male,male52,0,2,4,6,4,6,7,5,5,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,23,1229343301382702756,0x110f813821ec06a4,Dergot,,In House,1,female,female51,0,4,3,5,5,5,5,3,5,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,95,3382690519351921919,0x2ef1bb1ae70d8cff,Django,,In House,1,male,male16,0,3,7,6,4,5,5,5,7,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,71,2393408671506358150,0x213718818379df86,Dominic,,In House,1,female,female46,0,1,10,5,6,5,4,5,5,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,11,2823961049352153513,0x2730b99cc62ca9a9,Donk,,In House,1,male,male30,0,5,9,4,6,5,5,6,4,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,15,-7670356411094302642,0x958d6b7bc015804e,Doodles,,In House,1,male,male73,0,6,4,6,5,4,5,5,6,7,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,44,-7030346606896969971,0x9e6f31026808870d,Dotty,spd,In House,1,female,female12,0,2,7,5,4,5,5,7,5,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,30,5553690340523182491,0x4d12abf0a367099b,Dova,,In House,1,female,female2,0,9,9,5,4,6,5,6,4,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,6,-6132095151849190381,0xaae66bf2d9224c13,Duan,,In House,1,male,male112,0,10,6,4,6,5,5,5,6,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,47,2474389544630391350,0x2256cc2e53a29236,Dug,,In House,1,male,male30,0,7,3,4,6,6,4,6,6,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,35,2989343763103521348,0x297c485077509a44,Emily,,In House,1,male,male17,0,9,4,3,4,5,5,6,7,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,97,-3051578785054506863,0xd5a69d4350b54091,Ernest,evolutioN,In House,1,female,female18,0,4,10,4,4,4,6,6,6,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,49,-2463727884402347554,0xddcf148ae2f931de,Erykah,,In House,1,male,male17,0,9,4,3,4,5,5,5,7,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,198,-6048293111807721111,0xac102575c5424169,Esme,star2,In House,1,male,male55,0,1,2,6,7,6,7,6,7,7,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,50,-3599429173626146862,0xce0c423cb7d5efd2,Etna,,In House,1,female,female43,0,8,3,4,4,5,5,6,5,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,13,-4237298818470058686,0xc532172cbde8e542,Eziah,,In House,1,male,male69,0,2,6,4,5,6,5,4,6,3,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,209,1354741893526025638,0x12cd02930df575a6,Facundo,star2,In House,1,male,male50,0,1,6,6,7,5,7,7,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,53,-9137994042493350590,0x812f52d5618c4d42,Faust,sword,In House,1,male,male52,0,2,3,6,4,5,7,7,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,73,7266642944793418153,0x64d84d420a0299a9,Fluff,,In House,1,male,male17,0,6,3,6,4,5,7,7,7,6,user_paste_2026-03-11,,,,,,,0.0,,,,,,user provided 202cats sexuality labels; icon:none
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,58,1182492304263481334,0x10690e7c514207f6,Ford,dex,In House,1,male,male16,0,7,9,4,7,4,5,5,6,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,33,-5205346797879326774,0xb7c2e4aa9baf87ca,Fusain,,In House,1,male,male17,0,1,1,6,4,6,3,6,7,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,22,-3046024271526567651,0xd5ba59104670e11d,G-Paw,,In House,1,male,male79,0,8,4,6,5,4,4,5,5,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,46,5146648728907437781,0x476c91c0363e56d5,Galloughs,,In House,1,male,male5,0,6,10,4,6,5,5,4,4,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,76,1263053650872007736,0x1187449a807c7c38,Gemini,,In House,1,female,female43,0,2,7,4,4,5,5,6,7,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,160,1411356297889854906,0x13962513433c35ba,Gleb,,In House,1,male,male23,0,1,2,6,4,4,4,6,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,65,-5161298886368309650,0xb85f62023265ce6e,Gonchito,sword,In House,1,male,male17,0,9,2,3,4,5,5,6,7,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,39,3243818481922008387,0x2d045bb90acee543,Gorpil,,In House,1,male,male17,0,10,2,6,4,5,3,5,7,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,180,8893432619871970582,0x7b6bd1d92d572516,Gozdov,,In House,1,male,male23,0,4,8,5,4,4,7,6,5,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,151,-3595066820091234565,0xce1bc1c64cab36fb,Gracie,,In House,1,male,male52,0,2,7,3,5,5,6,5,6,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,173,5284119915072916148,0x4954f710f87d0ab4,Graham,,In House,1,male,male52,0,5,2,6,5,6,7,7,5,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,37,-6903343546792020821,0xa032659ea2f9f4ab,Grigoriy,,In House,1,male,male17,0,7,6,3,5,4,5,5,7,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,168,-8727431164029258648,0x86e1ef98a25cb468,Grimfish,dex,In House,1,male,male55,0,3,2,5,7,3,5,6,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,110,3367255874739440592,0x2ebae560a9b10bd0,Griseline,sword,In House,1,male,male52,0,10,5,6,4,5,7,7,5,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,213,-3513892724913466182,0xcf3c252f20b414ba,Guinguette,appeal,In House,1,male,male110,0,5,8,6,7,5,5,5,7,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,134,659456500320217559,0x926dc316e68a9d7,Gunter,star2,In House,1,male,male23,0,6,1,6,4,6,7,7,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,101,-4173174281713618220,0xc615e819e8a9f2d4,Hansel,,In House,1,female,female18,0,3,4,6,4,4,6,6,6,5,user_paste_2026-03-11,,,,,,,0.0,,,,,,user provided 202cats sexuality labels | user provided 202cats sexuality labels; icon:none
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,63,5537342242821813385,0x4cd8976e8728b489,Harper,,In House,1,,robotom,0,4,8,5,5,5,6,5,6,3,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,214,-5622894163239521097,0xb1f7778cc67db4b7,Heihachi Meowshima,sword,In House,1,male,male110,0,7,10,6,7,5,7,5,7,7,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,106,4859717642674761068,0x43712f72b853ed6c,Hilbert,,In House,1,male,male17,0,5,2,6,5,5,5,5,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,123,1047991505328766684,0xe8b36b8babf7edc,Hocus,star2,In House,1,male,male52,0,5,9,6,4,5,7,7,7,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,107,1275075533847055173,0x11b1fa7140becb45,Hollow Kitty,sword,In House,1,male,male17,0,3,8,6,4,5,7,7,7,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,93,-1420434782260583407,0xec499a1760bfa411,Holly Bally,appeal,In House,1,female,female29,0,3,9,4,6,5,5,6,6,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,100,863003151324665681,0xbfa00cb32bfd751,Honeybunny,appeal,In House,1,female,female54,0,7,2,6,4,6,5,5,5,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,157,-2304083030626838813,0xe00640b0f27b56e3,Hootie,sword,In House,1,male,male17,0,6,7,5,5,5,7,7,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,1,6708833069073051589,0x5d1a9021a37e2fc5,Huxley,,In House,1,male,male112,0,4,5,3,6,5,7,3,5,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,18,5229227460375026020,0x4891f2ab695f1964,Io,,In House,1,male,male109,0,9,4,4,6,6,6,5,4,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,118,-312384360981951951,0xfbaa30142a488a31,Jacquesy,sword,In House,1,male,male52,0,5,5,6,4,5,7,7,7,5,user_paste_2026-03-11,rainbow,,,,,,1.0,,,,,,user provided 202cats sexuality labels
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,3,3734709280391133911,0x33d45a4d9d117ad7,Jello,,In House,1,male,male17,0,10,4,6,4,7,5,6,3,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,96,-129567148963048616,0xfe33af5d4f7f5358,Jiburi,star2,In House,1,male,male52,0,7,3,6,4,5,7,7,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,48,138485450450722677,0x1ebffc890acdf75,Jimbei,,In House,1,male,male106,0,7,10,3,4,5,5,4,5,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,91,8070573556618309718,0x70006fe3d7e53056,Jimiffrey,,In House,1,male,male17,0,10,9,4,4,4,3,5,6,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,69,8518646424892102418,0x76384fca2ad85712,Jiro,,In House,1,male,male52,0,1,2,6,4,5,5,7,7,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,17,2545368860855829069,0x2352f77e35a7024d,Joemeth Hoemeth,,In House,1,male,male106,0,6,7,3,4,5,5,5,7,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,149,7815219900119508476,0x6c753d17a42fe5fc,Josta,,In House,1,male,male52,0,10,3,6,7,5,5,5,6,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,120,-7268402772262306845,0x9b21723032d73be3,Juansa,int,In House,1,male,male17,0,10,10,6,5,5,7,7,4,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,129,-7675617969979193562,0x957aba1f9bc90726,Judd,Sword,In House,1,male,male17,0,6,9,6,4,5,7,7,4,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,122,-573951650186396212,0xf808ea03dc63fdcc,Kalie,sword,In House,1,male,male17,0,4,4,6,4,5,7,7,5,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,175,-3121717840909034467,0xd4ad6e29cb9e1c1d,Kari,Appeal,In House,1,female,female39,0,2,1,6,4,4,4,7,5,7,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,108,186725053684718199,0x29761726f8b1a77,Karkitty,sword,In House,1,male,male17,0,10,9,6,4,5,7,7,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,117,99261364534462715,0x160a5af64ff48fb,Kaseton,sword,In House,1,male,male52,0,7,9,6,4,5,7,5,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,66,173183529569415610,0x2674580a8eef1ba,Khulie,,In House,1,female,female52,0,1,8,6,4,6,5,5,6,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,165,-8233638191411742125,0x8dbc3db047d03a53,Kilya,star2,In House,1,female,female39,0,9,3,5,4,4,7,6,7,7,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,56,4381995049290795182,0x3ccff947d07f88ae,Laco,,In House,1,male,male52,0,3,6,5,4,5,5,7,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,124,-8346668830755730303,0x8c2aacebc4facc81,Ladybug,sword,In House,1,male,male16,0,5,3,6,4,5,5,7,6,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,128,8803588652379862818,0x7a2ca13c65c2f722,Laika Pokorn,,In House,1,male,male10,0,7,10,5,5,5,7,5,4,4,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,147,-2120410754992315940,0xe292c9a71ac3e1dc,Lena,Sword,In House,1,male,male52,0,6,3,6,4,4,7,5,7,5,user_paste_2026-03-11,pink_blue,,,,,,0.5,,,,,,user provided 202cats sexuality labels
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,77,-5546796359529161014,0xb305d21964d59eca,Lina,,In House,1,female,female43,0,3,10,5,4,5,5,5,7,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,146,-4107559914339665514,0xc6ff04054c267996,Loca,lck,In House,1,female,female39,0,9,7,5,4,4,4,6,5,7,user_paste_2026-03-11,pink_blue,,,,,,0.5,,,,,,user provided 202cats sexuality labels
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,187,7884907471052898197,0x6d6cd191a2ee7f95,Lord,sword,In House,1,male,male23,0,9,7,5,4,6,7,7,5,7,,,,,,,,,,,,,,
